id	dates	number
1	1	2644
1	2	3183
1	3	4060
1	4	4914
1	5	5565
1	6	6266
1	7	7421
1	8	8582
1	9	9816
1	10	11190
1	11	12569
1	12	13796
1	13	15076
1	14	16284
1	15	17540
1	16	19043
1	17	20191
1	18	21366
1	19	22421
1	20	23323
1	21	24334
1	22	25758
1	23	27107
1	24	28142
1	25	29398
1	26	30829
1	27	31544
1	28	33862
1	29	35844
1	30	37573
1	31	39534
1	32	41368
2	1	618
2	2	875
2	3	1012
2	4	1291
2	5	1524
2	6	1993
2	7	2571
2	8	3128
2	9	3557
2	10	3824
2	11	4915
2	12	5276
2	13	5675
2	14	6906
2	15	7781
2	16	8781
2	17	9784
2	18	10538
2	19	11510
2	20	12035
2	21	13381
2	22	13989
2	23	14755
2	24	15884
2	25	16809
2	26	17550
2	27	17962
2	28	19815
2	29	20360
2	30	22469
2	31	23100
2	32	23921
3	1	1467
3	2	1965
3	3	2477
3	4	3198
3	5	4038
3	6	4942
3	7	5694
3	8	6741
3	9	7765
3	10	9000
3	11	10260
3	12	11537
3	13	12342
3	14	13621
3	15	14739
3	16	15690
3	17	16819
3	18	17960
3	19	18978
3	20	19855
3	21	21011
3	22	21620
3	23	22526
3	24	23332
3	25	24745
3	26	25484
3	27	26306
3	28	27050
3	29	27861
3	30	28301
3	31	29640
3	32	30525
4	1	1097
4	2	1387
4	3	1643
4	4	2198
4	5	2447
4	6	2683
4	7	3032
4	8	4117
4	9	4748
4	10	5444
4	11	5967
4	12	6383
4	13	6742
4	14	7558
4	15	9156
4	16	10204
4	17	10885
4	18	11859
4	19	12261
4	20	12103
4	21	13125
4	22	13913
4	23	14583
4	24	15644
4	25	16658
4	26	17014
4	27	17619
4	28	18447
4	29	19189
4	30	20099
4	31	20905
4	32	21575
5	1	1535
5	2	1875
5	3	2538
5	4	3029
5	5	3547
5	6	4613
5	7	5070
5	8	5994
5	9	6980
5	10	7695
5	11	8904
5	12	10357
5	13	11276
5	14	12262
5	15	13549
5	16	15078
5	17	16422
5	18	17887
5	19	19180
5	20	20852
5	21	22025
5	22	23247
5	23	24593
5	24	25734
5	25	27575
5	26	29160
5	27	30357
5	28	31508
5	29	33059
5	30	35108
5	31	36935
5	32	39658
6	1	1388
6	2	1795
6	3	2305
6	4	2746
6	5	3315
6	6	3540
6	7	4025
6	8	5237
6	9	6424
6	10	9150
6	11	10297
6	12	12496
6	13	13010
6	14	14867
6	15	16284
6	16	17030
6	17	18283
6	18	19253
6	19	20014
6	20	20595
6	21	21016
6	22	21518
6	23	21951
6	24	22532
6	25	23118
6	26	23580
6	27	23928
6	28	24523
6	29	24854
6	30	25258
6	31	25739
6	32	26140
7	1	349
7	2	423
7	3	581
7	4	775
7	5	1066
7	6	1244
7	7	1414
7	8	1662
7	9	1985
7	10	2331
7	11	2758
7	12	3125
7	13	3609
7	14	4045
7	15	4371
7	16	5529
7	17	6185
7	18	6968
7	19	7694
7	20	8225
7	21	8936
7	22	9472
7	23	10032
7	24	10784
7	25	11572
7	26	12308
7	27	12830
7	28	13684
7	29	14193
7	30	14775
7	31	15737
7	32	16618
8	1	1159
8	2	1838
8	3	2417
8	4	3240
8	5	4257
8	6	4955
8	7	5752
8	8	6620
8	9	7738
8	10	8966
8	11	10402
8	12	11736
8	13	12500
8	14	13837
8	15	15202
8	16	16790
8	17	18941
8	18	20974
8	19	22860
8	20	25475
8	21	26867
8	22	28163
8	23	29918
8	24	32181
8	25	34402
8	26	36372
8	27	38077
8	28	39643
8	29	41199
8	30	42944
8	31	46023
8	32	50969
9	1	1791
9	2	2294
9	3	2878
9	4	3657
9	5	4635
9	6	5486
9	7	6508
9	8	7630
9	9	9293
9	10	10791
9	11	12670
9	12	14225
9	13	15635
9	14	17130
9	15	18852
9	16	20220
9	17	21375
9	18	22646
9	19	23853
9	20	24494
9	21	25487
9	22	26844
9	23	27893
9	24	29119
9	25	29952
9	26	30717
9	27	31348
9	28	31927
9	29	32935
9	30	33929
9	31	35252
9	32	36627
10	1	3675
10	2	4402
10	3	6876
10	4	8825
10	5	11124
10	6	13386
10	7	16636
10	8	18696
10	9	22255
10	10	25590
10	11	29895
10	12	34124
10	13	37505
10	14	41090
10	15	44416
10	16	47437
10	17	51027
10	18	54588
10	19	58151
10	20	61850
10	21	64584
10	22	68824
10	23	71030
10	24	75317
10	25	78467
10	26	81420
10	27	85301
10	28	88806
10	29	92387
10	30	95865
10	31	99989
10	32	102196
11	1	25665
11	2	33066
11	3	38987
11	4	44635
11	5	53363
11	6	59568
11	7	67174
11	8	75832
11	9	83889
11	10	92381
11	11	102870
11	12	114996
11	13	122911
11	14	130689
11	15	140081
11	16	149401
11	17	159937
11	18	170512
11	19	180458
11	20	188694
11	21	195031
11	22	202208
11	23	213779
11	24	222284
11	25	229642
11	26	236763
11	27	242817
11	28	247543
11	29	251720
11	30	257246
11	31	263460
11	32	271621
12	1	564
12	2	706
12	3	867
12	4	1144
12	5	1406
12	6	1665
12	7	1933
12	8	2199
12	9	2547
12	10	2902
12	11	3312
12	12	3739
12	13	4043
12	14	4450
12	15	4782
12	16	5148
12	17	5512
12	18	5878
12	19	6250
12	20	6604
12	21	6975
12	22	7280
12	23	7791
12	24	8414
12	25	9107
12	26	10222
12	27	11602
12	28	12919
12	29	13725
12	30	14117
12	31	14694
12	32	15169
13	1	851
13	2	1151
13	3	1690
13	4	2218
13	5	2815
13	6	3441
13	7	4156
13	8	4997
13	9	5805
13	10	7016
13	11	8420
13	12	10109
13	13	11589
13	14	13074
13	15	14582
13	16	16414
13	17	18379
13	18	20128
13	19	21774
13	20	22955
13	21	24295
13	22	25591
13	23	26804
13	24	28314
13	25	30121
13	26	31742
13	27	32992
13	28	34005
13	29	35384
13	30	36763
13	31	38334
13	32	40298
14	1	857
14	2	1119
14	3	1543
14	4	1942
14	5	2161
14	6	2712
14	7	3043
14	8	3576
14	9	4261
14	10	4880
14	11	5669
14	12	6566
14	13	7091
14	14	8104
14	15	8968
14	16	9897
14	17	11372
14	18	12290
14	19	13208
14	20	13776
14	21	14487
14	22	15303
14	23	16106
14	24	16928
