id	dates	number
1	1	52
1	2	67
1	3	82
1	4	102
1	5	121
1	6	130
1	7	146
1	8	183
1	9	212
1	10	247
1	11	282
1	12	323
1	13	349
1	14	386
1	15	447
1	16	506
1	17	548
1	18	594
1	19	632
1	20	676
1	21	725
1	22	778
1	23	885
1	24	971
1	25	1050
1	26	1146
1	27	1176
1	28	1223
1	29	1316
1	30	1425
1	31	1553
1	32	1619
2	1	12
2	2	19
2	3	21
2	4	27
2	5	33
2	6	34
2	7	36
2	8	69
2	9	85
2	10	112
2	11	132
2	12	165
2	13	189
2	14	206
2	15	277
2	16	335
2	17	380
2	18	448
2	19	494
2	20	554
2	21	602
2	22	671
2	23	868
2	24	971
2	25	1036
2	26	1086
2	27	1127
2	28	1331
2	29	1423
2	30	1544
2	31	1639
2	32	1764
3	1	19
3	2	23
3	3	29
3	4	46
3	5	56
3	6	59
3	7	71
3	8	85
3	9	100
3	10	144
3	11	169
3	12	194
3	13	220
3	14	253
3	15	295
3	16	322
3	17	370
3	18	418
3	19	445
3	20	460
3	21	498
3	22	570
3	23	613
3	24	667
3	25	725
3	26	747
3	27	773
3	28	822
3	29	866
3	30	926
3	31	986
3	32	1045
4	1	38
4	2	47
4	3	56
4	4	64
4	5	79
4	6	83
4	7	102
4	8	125
4	9	154
4	10	176
4	11	198
4	12	208
4	13	219
4	14	294
4	15	348
4	16	370
4	17	412
4	18	425
4	19	432
4	20	438
4	21	479
4	22	517
4	23	569
4	24	611
4	25	661
4	26	670
4	27	682
4	28	767
4	29	810
4	30	837
4	31	871
4	32	889
5	1	16
5	2	21
5	3	26
5	4	37
5	5	50
5	6	70
5	7	84
5	8	107
5	9	146
5	10	165
5	11	211
5	12	248
5	13	282
5	14	309
5	15	384
5	16	464
5	17	534
5	18	607
5	19	682
5	20	727
5	21	800
5	22	878
5	23	958
5	24	1081
5	25	1142
5	26	1272
5	27	1302
5	28	1359
5	29	1479
5	30	1577
5	31	1696
5	32	1804
6	1	46
6	2	65
6	3	83
6	4	119
6	5	137
6	6	152
6	7	186
6	8	240
6	9	273
6	10	310
6	11	370
6	12	412
6	13	477
6	14	512
6	15	582
6	16	652
6	17	702
6	18	755
6	19	806
6	20	840
6	21	884
6	22	1013
6	23	1103
6	24	1156
6	25	1213
6	26	1267
6	27	1296
6	28	1328
6	29	1405
6	30	1473
6	31	1540
6	32	1601
7	1	4
7	2	4
7	3	4
7	4	5
7	5	10
7	6	11
7	7	15
7	8	18
7	9	33
7	10	36
7	11	42
7	12	54
7	13	68
7	14	92
7	15	104
7	16	124
7	17	139
7	18	172
7	19	207
7	20	236
7	21	262
7	22	302
7	23	349
7	24	392
7	25	425
7	26	463
7	27	486
7	28	516
7	29	584
7	30	632
7	31	680
7	32	723
8	1	11
8	2	15
8	3	25
8	4	35
8	5	44
8	6	48
8	7	56
8	8	89
8	9	122
8	10	154
8	11	192
8	12	216
8	13	231
8	14	260
8	15	356
8	16	433
8	17	503
8	18	599
8	19	686
8	20	756
8	21	844
8	22	957
8	23	1108
8	24	1245
8	25	1404
8	26	1560
8	27	1706
8	28	1809
8	29	1961
8	30	2182
8	31	2360
8	32	2556
9	1	24
9	2	43
9	3	63
9	4	93
9	5	111
9	6	132
9	7	197
9	8	264
9	9	336
9	10	417
9	11	478
9	12	540
9	13	616
9	14	727
9	15	845
9	16	959
9	17	1076
9	18	1280
9	19	1391
9	20	1486
9	21	1601
9	22	1766
9	23	1919
9	24	2091
9	25	2226
9	26	2307
9	27	2389
9	28	2466
9	29	2698
9	30	2812
9	31	2977
9	32	3084
10	1	44
10	2	62
10	3	81
10	4	108
10	5	140
10	6	161
10	7	199
10	8	267
10	9	355
10	10	539
10	11	647
10	12	847
10	13	917
10	14	1005
10	15	1232
10	16	1504
10	17	1700
10	18	1932
10	19	2183
10	20	2350
10	21	2443
10	22	2805
10	23	3156
10	24	3518
10	25	3840
10	26	4070
10	27	4202
10	28	4377
10	29	4753
10	30	5063
10	31	5368
10	32	5617
11	1	218
11	2	325
11	3	432
11	4	535
11	5	782
11	6	965
11	7	1224
11	8	1550
11	9	1941
11	10	2373
11	11	2935
11	12	3568
11	13	4161
11	14	4758
11	15	5563
11	16	6268
11	17	7067
11	18	7844
11	19	8627
11	20	9385
11	21	10056
11	22	10834
11	23	11586
11	24	12192
11	25	12822
11	26	13362
11	27	13869
11	28	14347
11	29	14828
11	30	15302
11	31	15740
11	32	16162
12	1	8
12	2	11
12	3	15
12	4	22
12	5	25
12	6	30
12	7	40
12	8	55
12	9	65
12	10	81
12	11	91
12	12	102
12	13	119
12	14	142
12	15	167
12	16	193
12	17	213
12	18	231
12	19	247
12	20	253
12	21	274
12	22	324
12	23	361
12	24	389
12	25	418
12	26	451
12	27	471
12	28	509
12	29	557
12	30	610
12	31	656
12	32	690
13	1	7
13	2	11
13	3	16
13	4	23
13	5	35
13	6	40
13	7	48
13	8	72
13	9	74
13	10	90
13	11	102
13	12	139
13	13	159
13	14	169
13	15	240
13	16	313
13	17	344
13	18	435
13	19	515
13	20	525
13	21	563
13	22	746
13	23	833
13	24	864
13	25	1027
13	26	1150
13	27	1285
13	28	1366
13	29	1620
13	30	1720
13	31	1713
13	32	1786
14	1	11
14	2	12
14	3	21
14	4	23
14	5	29
14	6	35
14	7	46
14	8	57
14	9	63
14	10	79
14	11	97
14	12	124
14	13	136
14	14	159
14	15	177
14	16	195
14	17	228
14	18	246
14	19	265
14	20	288
14	21	320
14	22	365
14	23	395
14	24	428
14	25	461
14	26	487
14	27	503
14	28	523
14	29	552
14	30	571
14	31	601
14	32	625
15	1	123
15	2	130
15	3	151
15	4	177
15	5	191
15	6	207
15	7	221
15	8	226
15	9	249
15	10	272
15	11	293
15	12	318
15	13	344
15	14	383
15	15	409
15	16	430
15	17	456
15	18	483
15	19	498
15	20	511
15	21	525
15	22	552
15	23	572
15	24	588
15	25	610
15	26	629
15	27	637
15	28	661
15	29	683
15	30	696
15	31	717
15	32	731
